element,web_name,first_name,second_name,team_id,element_type,status,chance_of_playing_this_round,chance_of_playing_next_round,news,news_added,now_cost,selected_by_percent,form,minutes,starts,transfers_in_event,transfers_out_event,ep_this,ep_next,team,snapshot_time,snapshot_date,next_gw,current_gw,next_deadline,hours_to_deadline
30,Digne,Lucas,Digne,2,2,a,NA,NA,,NA,45,1.4,0.0,1842,21,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
31,Konsa,Ezri,Konsa Ngoyo,2,2,a,NA,NA,,NA,45,17.5,0.0,3035,34,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
32,Cash,Matty,Cash,2,2,a,NA,NA,,NA,45,7.8,0.0,3016,34,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
33,Mings,Tyrone,Mings,2,2,a,NA,NA,,NA,45,0.2,0.0,1322,15,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
34,Pau,Pau,Torres,2,2,a,NA,NA,,NA,45,0.2,0.0,1673,18,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
35,Bogarde,Lamare,Bogarde,2,3,a,NA,NA,,NA,50,0.1,0.0,1042,11,0,0,NA,1.5,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
36,Maatsen,Ian,Maatsen,2,2,a,NA,NA,,NA,45,0.6,0.0,1590,17,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
37,Lindelöf,Victor,Lindelöf,2,2,a,NA,NA,,NA,45,0.2,0.0,942,11,0,0,NA,1.7,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
38,A.García,Andrés,García,2,2,a,NA,NA,,NA,40,1.5,0.0,83,1,0,0,NA,1.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
39,Nedeljkovic,Kosta,Nedeljkovic,2,2,a,NA,NA,,NA,40,0.4,0.0,0,0,0,0,NA,1.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
41,Buendía,Emiliano,Buendía Stati,2,3,a,NA,NA,,NA,60,0.8,0.0,1753,21,0,0,NA,2.1,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
42,Guessand,Evann,Guessand,2,3,a,NA,NA,,NA,55,0.0,0.0,909,9,0,0,NA,2.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
44,Bailey,Leon,Bailey,2,3,a,NA,NA,,NA,55,0.1,0.0,450,3,0,0,NA,2.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
45,McGinn,John,McGinn,2,3,a,NA,NA,,NA,55,2.7,0.0,2136,28,0,0,NA,2.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
46,Barkley,Ross,Barkley,2,3,a,NA,NA,,NA,50,0.2,0.0,844,7,0,0,NA,1.5,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
47,Kamara,Boubacar,Kamara,2,3,d,NA,75,Knee injury - 75% chance of playing,2026-07-23T12:01:23.337269Z,50,0.1,0.0,1410,17,0,0,NA,1.1,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
48,Onana,Amadou,Onana,2,3,i,NA,0,Knee injury - Unknown return date,2026-07-23T12:01:23.352497Z,50,0.0,0.0,1755,21,0,0,NA,0.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
49,Iling Jr,Samuel,Iling-Junior,2,3,a,NA,NA,,NA,50,0.0,0.0,0,0,0,0,NA,1.5,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
50,Burrowes,Bradley,Burrowes,2,3,a,NA,NA,,NA,45,1.0,0.0,16,0,0,0,NA,1.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
51,George Hemmings,George,Hemmings,2,3,a,NA,NA,,NA,45,0.3,0.0,25,0,0,0,NA,1.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
52,Alysson,Alysson Edward Franco,da Rocha dos Santos,2,3,a,NA,NA,,NA,50,0.0,0.0,47,0,0,0,NA,1.5,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
53,Manzambi,Johan,Manzambi,2,3,a,NA,NA,,NA,60,2.5,0.0,0,0,0,0,NA,2.1,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
54,Gomes,Joao,Gomes,2,3,a,NA,NA,,NA,55,0.3,0.0,2207,25,0,0,NA,2.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
55,Watkins,Ollie,Watkins,2,4,a,NA,NA,,NA,80,12.3,0.0,2833,33,0,0,NA,2.5,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
56,Abraham,Tammy,Abraham,2,4,i,NA,0,Shoulder injury - Expected back 23 Aug,2026-07-23T12:01:23.368701Z,55,0.0,0.0,278,2,0,0,NA,0.0,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
160,Garnacho,Alejandro,Garnacho Ferreyra,2,3,a,NA,NA,,NA,60,1.1,0.0,1261,14,0,0,NA,2.1,AVL,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
57,Petrović,Đorđe,Petrović,3,1,a,NA,NA,,NA,45,3.6,0.0,3420,38,0,0,NA,1.9,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
58,Forster,Fraser,Forster,3,1,a,NA,NA,,NA,40,3.1,0.0,0,0,0,0,NA,1.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
59,Dennis,Will,Dennis,3,1,a,NA,NA,,NA,40,0.2,0.0,0,0,0,0,NA,1.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
60,Hill,James,Hill,3,2,a,NA,NA,,NA,55,1.3,0.0,2102,22,0,0,NA,2.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
61,Truffert,Adrien,Truffert,3,2,a,NA,NA,,NA,55,4.6,0.0,3378,38,0,0,NA,2.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
62,Diakité,Bafodé,Diakité,3,2,a,NA,NA,,NA,50,0.2,0.0,1275,15,0,0,NA,2.2,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
63,Milosavljević,Veljko,Milosavljevic,3,2,a,NA,NA,,NA,50,0.1,0.0,367,4,0,0,NA,2.2,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
64,Smith,Adam,Smith,3,2,a,NA,NA,,NA,45,0.1,0.0,1073,14,0,0,NA,1.7,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
65,J.Araujo,Julián,Araujo Zúñiga,3,2,a,NA,NA,,NA,45,0.1,0.0,0,0,0,0,NA,1.7,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
66,Soler,Julio,Soler Barreto,3,2,a,NA,NA,,NA,40,0.6,0.0,34,0,0,0,NA,1.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
67,Rayan,Rayan Vitor,Simplício Rocha,3,3,a,NA,NA,,NA,65,3.4,0.0,1110,13,0,0,NA,2.3,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
68,Tavernier,Marcus,Tavernier,3,3,a,NA,NA,,NA,60,1.9,0.0,2732,31,0,0,NA,2.1,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
69,Scott,Alex,Scott,3,3,a,NA,NA,,NA,60,1.6,0.0,2848,34,0,0,NA,2.1,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
70,Kluivert,Justin,Kluivert,3,3,a,NA,NA,,NA,60,0.9,0.0,945,10,0,0,NA,2.1,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
71,Cook,Lewis,Cook,3,3,a,NA,NA,,NA,50,0.1,0.0,872,8,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
72,Gannon-Doak,Ben,Gannon-Doak,3,3,a,NA,NA,,NA,50,0.2,0.0,105,0,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
73,Adams,Tyler,Adams,3,3,a,NA,NA,,NA,50,0.7,0.0,1769,21,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
74,Brooks,David,Brooks,3,3,a,NA,NA,,NA,50,0.2,0.0,1188,13,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
75,Christie,Ryan,Christie,3,3,s,NA,0,Suspended until 29 Aug,2026-07-24T17:30:10.035483Z,50,0.0,0.0,978,9,0,0,NA,0.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
76,Tóth.A,Alex,Tóth,3,3,a,NA,NA,,NA,50,0.0,0.0,135,2,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
77,Adli,Amine,Adli,3,3,a,NA,NA,,NA,50,0.2,0.0,1074,10,0,0,NA,1.5,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
78,Kroupi.Jr,Junior,Kroupi,3,3,i,NA,0,Foot injury - Unknown return date,2026-07-29T17:30:09.796802Z,75,6.4,0.0,1663,21,0,0,NA,0.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
79,Evanilson,Francisco Evanilson,de Lima Barbosa,3,4,a,NA,NA,,NA,60,2.0,0.0,2741,32,0,0,NA,2.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
80,Enes Ünal,Enes,Ünal,3,4,a,NA,NA,,NA,55,0.2,0.0,214,0,0,0,NA,1.8,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
81,Rodríguez,Álvaro,Rodríguez,3,4,a,NA,NA,,NA,60,0.3,0.0,0,0,0,0,NA,2.0,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
566,Silva,António João,Pereira de Albuquerque Tavares da Silva,3,2,a,NA,NA,,NA,50,0.0,0.0,0,0,0,0,NA,2.2,BOU,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
82,Kelleher,Caoimhín,Kelleher,4,1,a,NA,NA,,NA,50,5.6,0.0,3330,37,0,0,NA,2.6,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
83,Valdimarsson,Hákon Rafn,Valdimarsson,4,1,a,NA,NA,,NA,45,0.1,0.0,90,1,0,0,NA,1.9,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
84,Collins,Nathan,Collins,4,2,a,NA,NA,,NA,55,2.0,0.0,2971,32,0,0,NA,2.5,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
85,Van den Berg,Sepp,van den Berg,4,2,a,NA,NA,,NA,50,0.7,0.0,2761,30,0,0,NA,2.2,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
86,Lewis-Potter,Keane,Lewis-Potter,4,3,a,NA,NA,,NA,55,0.5,0.0,1960,22,0,0,NA,2.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
87,Ajer,Kristoffer,Ajer,4,2,a,NA,NA,,NA,45,1.1,0.0,1805,20,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
88,Kayode,Michael,Kayode,4,2,a,NA,NA,,NA,45,4.2,0.0,3258,37,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
89,Henry,Rico,Henry,4,2,a,NA,NA,,NA,45,0.2,0.0,1322,14,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
90,Hickey,Aaron,Hickey,4,2,a,NA,NA,,NA,45,0.1,0.0,679,8,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
91,Pinnock,Ethan,Pinnock,4,2,a,NA,NA,,NA,45,0.1,0.0,318,4,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
92,Ji-soo,Kim,Ji-soo,4,2,a,NA,NA,,NA,45,0.0,0.0,0,0,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
93,Schuster,Jannik,Schuster,4,2,a,NA,NA,,NA,45,0.1,0.0,0,0,0,0,NA,1.7,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
94,Schade,Kevin,Schade,4,3,a,NA,NA,,NA,60,2.3,0.0,2744,32,0,0,NA,2.1,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
95,O.Dango,Dango,Ouattara,4,3,a,NA,NA,,NA,65,1.3,0.0,2271,25,0,0,NA,2.3,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
96,Damsgaard,Mikkel,Damsgaard,4,3,a,NA,NA,,NA,55,0.7,0.0,2046,24,0,0,NA,2.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
97,Jensen,Mathias,Jensen,4,3,a,NA,NA,,NA,55,0.1,0.0,2239,26,0,0,NA,2.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
98,Janelt,Vitaly,Janelt,4,3,a,NA,NA,,NA,50,0.1,0.0,1434,15,0,0,NA,1.5,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
99,Milambo,Antoni,Milambo,4,3,d,NA,75,Knee injury - 75% chance of playing,2026-07-23T12:01:23.384798Z,50,0.0,0.0,45,1,0,0,NA,1.1,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
100,Carvalho,Fábio,Freitas Gouveia Carvalho,4,3,i,NA,0,Knee injury - Unknown return date,2026-07-23T12:01:23.400917Z,50,0.0,0.0,100,1,0,0,NA,0.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
101,Henderson,Jordan,Henderson,4,3,u,NA,0,has departed the club as a free agent.,2026-07-23T12:01:23.416721Z,50,0.0,0.0,1911,22,0,0,NA,0.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
102,Yarmoliuk,Yehor,Yarmoliuk,4,3,a,NA,NA,,NA,50,1.5,0.0,2652,30,0,0,NA,1.5,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
103,Dasilva,Josh,Dasilva,4,3,a,NA,NA,,NA,50,0.0,0.0,2,0,0,0,NA,1.5,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
105,Anthony,Jaidon,Anthony,4,3,a,NA,NA,,NA,60,0.2,0.0,0,0,0,0,NA,2.1,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
106,Thiago,Igor Thiago,Nascimento Rodrigues,4,4,a,NA,NA,,NA,80,15.8,0.0,3282,37,0,0,NA,2.5,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
107,Furo,Kaye,Furo,4,4,a,NA,NA,,NA,45,0.9,0.0,1,0,0,0,NA,1.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
108,Wilson,Callum,Wilson,4,4,a,NA,NA,,NA,55,0.4,0.0,0,0,0,0,NA,1.8,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
565,Sangaré,Mamadou,Sangaré,4,3,a,NA,NA,,NA,55,0.3,0.0,0,0,0,0,NA,2.0,BRE,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
109,Verbruggen,Bart,Verbruggen,5,1,a,NA,NA,,NA,45,16.7,0.0,3420,38,0,0,NA,1.9,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
110,Rushworth,Carl,Rushworth,5,1,a,NA,NA,,NA,45,0.6,0.0,0,0,0,0,NA,1.9,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
111,Steele,Jason,Steele,5,1,a,NA,NA,,NA,40,4.8,0.0,0,0,0,0,NA,1.0,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
113,F.Kadıoğlu,Ferdi,Kadıoğlu,5,2,a,NA,NA,,NA,45,3.0,0.0,3130,34,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
114,Boscagli,Olivier,Boscagli,5,2,a,NA,NA,,NA,45,0.1,0.0,799,9,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
115,De Cuyper,Maxim,De Cuyper,5,2,a,NA,NA,,NA,45,1.5,0.0,1404,17,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
116,Dunk,Lewis,Dunk,5,2,a,NA,NA,,NA,45,0.7,0.0,2837,31,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
117,Coppola,Diego,Coppola,5,2,a,NA,NA,,NA,45,0.0,0.0,193,2,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
118,Igor,Igor Julio,dos Santos de Paulo,5,2,a,NA,NA,,NA,45,0.1,0.0,103,1,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
119,Costinha,João Pedro,Loureiro da Costa,5,2,a,NA,NA,,NA,45,0.0,0.0,0,0,0,0,NA,1.7,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
120,Svoboda,Michael,Svoboda,5,2,a,NA,NA,,NA,50,0.1,0.0,0,0,0,0,NA,2.2,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
121,Mitoma,Mitoma,Kaoru,5,3,i,NA,0,Hamstring injury - Unknown return date,2026-07-24T18:30:10.661894Z,60,0.2,0.0,1714,19,0,0,NA,0.0,BHA,2026-08-03T20:15:49Z,2026-08-03,1,NA,2026-08-21T17:30:00Z,429.24
